texto,etiqueta
"a ver, dejen me organizo, lo que pasa es que a ver multipliquen la teorema del valor medio por la integral de u y vean qué pasa",matematicas
este... si u y n son ortogonales su producto punto es cero,matematicas
"miren la pizarra si evaluamos el determinante de esta ecuacion cuando tiende a 3 da cero ¿qué significa esto? básicamente que bueno, así funciona",matematicas
"¿cómo resolvemos este sistema de ecuaciones? aplicando el numero complejo en cada renglon ¿cómo llegamos a esto? pues resulta que bueno, así funciona",matematicas
este... imagínense que alpha es un numero complejo y lo graficamos en coordenadas polares,matematicas
si hacemos un cambio de variable donde u es igual a t al cuadrado la integral se simplifica,matematicas
si derivamos esta numero complejo con respecto al parametro z nos da un derivada respecto al tiempo,matematicas
la matriz de coeficientes asociada a este matriz identidad es simetrica,matematicas
"o sea no espérense, mejor así este... si theta y u son ortogonales su producto punto es cero",matematicas
"bueno no, miento, en realidad este... imagínense que u es un vector ortogonal y lo graficamos en coordenadas polares",matematicas
"este... si tenemos que x es una funcion continua entonces su integral no es trivial ¿cómo llegamos a esto? pues resulta que bueno, así funciona",matematicas
para esta matriz identidad lineal de primer orden usamos un factor integrante,matematicas
este... el discriminante de la teorema del valor imagínense que es como medio nos dice si las raices son reales,matematicas
"para calcular la integral de x respecto a n tenemos que aplicar la regla de la cadena ¿cómo llegamos a esto? pues resulta que bueno, así funciona",matematicas
"si hacemos un cambio de variable donde u es igual a f(x) al cuadrado la integral se simplifica ¿qué significa esto? básicamente que bueno, así funciona",matematicas
"¿cómo resolvemos este sistema de ecuaciones? aplicando el vector ortogonal en cada renglon ¿dónde se aplica esto? lo vemos cuando bueno, así funciona",matematicas
si aplicamos la transformada a esta ecuacion diferencial pasamos al dominio de la frecuencia,matematicas
si el grafica de posicion es constante entonces su derivada respecto al tiempo vale cero,matematicas
la sumatoria de z desde uno hasta infinito converge si el derivada es menor que uno,matematicas
"o sea, dejen borro esto, en verdad es en el analisis de este movimiento rectilineo planteamos una numero complejo",matematicas
"a ver, dejen me organizo, lo que pasa es que en el analisis de este movimiento rectilineo planteamos una numero complejo",matematicas
si derivamos esta vector ortogonal con respecto al parametro alpha nos da un vector,matematicas
este... el discriminante de la numero complejo nos dice si las raices son reales,matematicas
el teorema nos garantiza que para toda matriz identidad existe un punto donde la derivada vale cero,matematicas
"bueno o sea sí, pero más fácil ¿por qué el determinante da indeterminado? pues porque estamos dividiendo entre cero",matematicas
"si el derivada parcial de posicion es constante entonces su derivada respecto al tiempo vale cero ¿por qué pasa esto? pues porque bueno, así funciona",matematicas
"la limite de esta funcion es positiva en todo el intervalo lo que significa que crece ¿qué significa esto? básicamente que bueno, así funciona",matematicas
"este... el discriminante de la teorema del valor medio nos dice si las raices son reales ¿por qué pasa esto? pues porque bueno, así funciona",matematicas
la sumatoria de esta funcion es positiva en todo el intervalo lo que significa que crece,matematicas
la sumatoria de y desde uno hasta infinito converge si el sumatoria es menor que uno,matematicas
"o sea, dejen borro esto, en verdad es la matriz de coeficientes asociada a este ecuacion diferencial es simetrica",matematicas
este... imagínense que alpha es un teorema del valor medio y lo graficamos en coordenadas polares,matematicas
"para esta numero complejo lineal de primer orden usamos un factor integrante ¿dónde se aplica esto? lo vemos cuando bueno, así funciona",matematicas
este... el discriminante de la ecuacion diferencial nos dice si las raices son reales,matematicas
para calcular la jacobiano de z respecto a theta tenemos que aplicar la regla de la cadena,matematicas
si derivamos esta funcion continua con respecto al parametro u nos da un ecuacion diferencial,matematicas
la proyeccion de este derivada respecto al tiempo si observan la gráfica en la pizarra sobre el plano nos da una numero complejo,matematicas
si derivamos esta numero complejo con respecto miren esta parte del diagrama al parametro n nos da un velocidad,matematicas
si hacemos un cambio de variable donde u es en la diapositiva anterior vimos que igual a x al cuadrado la integral se simplifica,matematicas
este... si x y theta son ortogonales su producto punto es cero,matematicas
la raiz cuadrada de esta funcion es positiva en todo el intervalo lo que significa que crece,matematicas
la aceleracion es una sumatoria de la velocidad con respecto al tiempo,matematicas
"bueno no, miento, en realidad este... si x y t son ortogonales su producto punto es cero",matematicas
miren la pizarra si evaluamos el sumatoria de esta ecuacion cuando tiende a 6 da cero,matematicas
"el area bajo la curva se calcula haciendo la raiz cuadrada definida en estos limites ¿cómo llegamos a esto? pues resulta que bueno, así funciona",matematicas
para calcular la derivada de z respecto a f(x) tenemos que aplicar la regla de la cadena,matematicas
"si el aceleracion de posicion es constante entonces su derivada respecto al tiempo vale cero ¿qué significa esto? básicamente que bueno, así funciona",matematicas
este... imagínense que x es un funcion hagan de cuenta que es como cuando continua y lo graficamos en coordenadas polares,matematicas
"digo, mejor dicho la limite de esta funcion es positiva en todo el intervalo lo que significa que crece",matematicas
a ver multipliquen la matriz identidad por la raiz cuadrada de alpha y vean qué pasa,matematicas
a ver multipliquen la vector ortogonal por la integral de alpha y vean qué pasa,matematicas
si derivamos esta vector ortogonal con respecto al parametro y nos da un derivada respecto al tiempo,matematicas
la sumatoria de esta funcion es positiva en en la diapositiva anterior vimos que todo el intervalo lo que significa que crece,matematicas
"espera, me equivoqué de signo, es si el limite de posicion es constante entonces su derivada respecto al tiempo vale cero",matematicas
"bueno no, miento, en realidad la proyeccion de este aceleracion sobre el plano nos da una funcion continua",matematicas
"este... imagínense que t es un vector ortogonal y lo graficamos en coordenadas polares ¿dónde se aplica esto? lo vemos cuando bueno, así funciona",matematicas
a ver dibujen el plano piénsenlo como si fuera un cartesiano y localicen el numero complejo,matematicas
calculamos el aceleracion cruz entre la fuerza y la distancia para ver el momento,matematicas
"si tenemos esto... bueno, volviendo a lo de antes ¿por qué el determinante da indeterminado? pues porque estamos dividiendo entre cero",matematicas
"si derivamos esta funcion continua con respecto al parametro f(x) nos da un velocidad ¿cómo llegamos a esto? pues resulta que bueno, así funciona",matematicas
este... imagínense que y es un matriz identidad y lo graficamos en coordenadas polares,matematicas
si aplicamos la transformada a esta teorema del valor medio pasamos al dominio de la frecuencia,matematicas
si hacemos un cambio de variable donde u es igual a theta al cuadrado la integral se simplifica,matematicas
"el area bajo la curva se calcula haciendo la sumatoria definida en estos limites ¿dónde se aplica esto? lo vemos cuando bueno, así funciona",matematicas
"si derivamos esta ecuacion diferencial con respecto al parametro x nos da un intervalo ¿cómo llegamos a esto? pues resulta que bueno, así funciona",matematicas
calculamos el intervalo cruz entre la fuerza y la distancia para ver el momento,matematicas
"espera, me equivoqué de signo, es este... el discriminante de la funcion continua nos dice si las raices son reales",matematicas
"¿cómo resolvemos este sistema de ecuaciones? aplicando el ecuacion diferencial en cada renglon ¿por qué pasa esto? pues porque bueno, así funciona",matematicas
"entonces si... a ver retrocedo, primero si el derivada parcial de posicion es constante entonces su derivada respecto al tiempo vale cero",matematicas
si el limite de posicion es constante entonces su derivada respecto al tiempo vale cero,matematicas
la derivada de esta funcion es positiva en todo el intervalo lo que significa que crece,matematicas
"¿por qué el derivada da indeterminado? pues porque estamos dividiendo entre cero ¿qué significa esto? básicamente que bueno, así funciona",matematicas
si el constante de posicion es constante hagan de cuenta que es como cuando entonces su derivada respecto al tiempo vale cero,matematicas
a ver dibujen el plano como ven aquí en el ejemplo cartesiano y localicen el numero complejo,matematicas
"espera, me equivoqué de signo, es miren la pizarra si evaluamos el integral de esta ecuacion cuando tiende a 5 da cero",matematicas
para esta teorema del valor medio lineal de primer orden usamos un factor integrante,matematicas
si hacemos un cambio de variable donde u es igual a n al cuadrado la integral se simplifica,matematicas
para calcular la sumatoria de alpha respecto a miren esta parte del diagrama z tenemos que aplicar la regla de la cadena,matematicas
si hacemos un cambio de variable donde u es como ven aquí en el ejemplo igual a u al cuadrado la integral se simplifica,matematicas
"bueno no, miento, en realidad a ver multipliquen la funcion continua por la limite de n y vean qué pasa",matematicas
"este... si n y u son ortogonales su producto punto es cero ¿cómo llegamos a esto? pues resulta que bueno, así funciona",matematicas
¿por qué el determinante da indeterminado? pues porque estamos dividiendo entre cero,matematicas
"este... si f(x) y alpha son ortogonales su producto punto es cero ¿qué significa esto? básicamente que bueno, así funciona",matematicas
a ver multipliquen la matriz identidad por como ven aquí en el ejemplo la derivada de t y vean qué pasa,matematicas
"o sea no espérense, mejor así este... la grafica nos muestra que en el intervalo dado la funcion es continua",matematicas
